prefecture,forest_area,planted_forest_area,all_area,forest_ratio,planted_forest_ratio,population,population_density
北海道,5538468.71,1505246.46,7842006,0.706256627,0.271780259,5575925,0.711032993
青森県,634444.74,274354.55,960704,0.660395647,0.432432539,1408663,1.466282018
岩手県,1174466.91,502035.34,1527877,0.768692054,0.427458054,1363702,0.892546979
宮城県,417814.23,201419.76,728573,0.573469275,0.482079703,2348999,3.224109321
秋田県,839182.73,410445.15,1161222,0.72267209,0.489101045,1121347,0.965661174
山形県,667238.05,184331.48,932344,0.715656507,0.276260444,1198710,1.28569498
福島県,972246.85,342627.53,1378275,0.705408463,0.352407961,2068352,1.500681649
茨城県,189329.83,115208.18,609569,0.310596225,0.608505168,2970800,4.873607418
栃木県,353047.73,158674.82,640828,0.55092432,0.449442969,2015233,3.144733064
群馬県,423330.6,180701.43,636316,0.665283601,0.426856528,2016027,3.168279597
埼玉県,122237.37,60149.16,379725,0.321910251,0.492068506,7104222,18.70886036
千葉県,162307.15,62573.58,515658,0.314757359,0.385525715,6108809,11.84662897
東京都,79645.69,35330.87,218742,0.364107899,0.443600526,12835130,58.6770259
神奈川県,95033.07,36624.55,241584,0.393374851,0.385387424,8899545,36.83830469
新潟県,861586.41,163953.33,1258346,0.684697539,0.190292382,2407430,1.913170146
富山県,284377.02,52997,424740,0.669531996,0.186361753,1105312,2.602326129
石川県,286436.21,101899.46,418547,0.684358531,0.355749226,1170414,2.796374123
福井県,312363.06,125499.8,418927,0.74562647,0.401775421,816198,1.948306029
山梨県,348117.81,153498.62,446537,0.779594546,0.440938716,877835,1.965872929
長野県,1059820.96,445964.83,1356223,0.781450366,0.420792612,2182029,1.608901338
岐阜県,865674.17,387135.61,1062117,0.81504596,0.447207071,2102259,1.979310189
静岡県,501753.27,283501.95,778009,0.644919622,0.565022626,3796808,4.880159484
愛知県,219717.81,141451.33,516406,0.425474936,0.643786364,7349396,14.2318176
三重県,373336.82,230694.46,577687,0.646261418,0.617925818,1869307,3.23584744
滋賀県,204893.34,84249.49,401736,0.510019864,0.41118706,1394809,3.471954219
京都府,343427.79,130542.91,461300,0.744478192,0.380117491,2642279,5.727897247
大阪府,58261.68,28312.99,189683,0.307152881,0.485962471,8839019,46.59889922
兵庫県,562065.71,240465.87,839547,0.66948689,0.427825191,5594249,6.663413722
奈良県,284426.28,173041.53,369109,0.770575304,0.60838798,1410825,3.82224492
和歌山県,363592.24,221125.1,472612,0.769325028,0.60816782,1021575,2.161551124
鳥取県,257734.13,139238.93,350726,0.734858921,0.540242497,600186,1.711267485
島根県,525748.42,207342.07,670757,0.783813542,0.39437507,731652,1.090785486
岡山県,483597.11,198290.82,711300,0.679877843,0.410033096,1952160,2.744495993
広島県,612897.16,199230.2,847852,0.722882248,0.325063017,2873128,3.388714068
山口県,438781.97,197225.38,611222,0.717876598,0.449483783,1473994,2.411552595
徳島県,312340.26,192176.86,414569,0.753409589,0.615280464,799981,1.929669126
香川県,87858.52,27074.15,187647,0.468211695,0.308156227,1006329,5.362883499
愛媛県,401146.5,246536.3,567738,0.706569756,0.614579212,1451973,2.557470171
高知県,599179.63,392144.77,710501,0.843319897,0.654469462,781998,1.100628993
福岡県,222368.95,142789.09,497617,0.446867671,0.642126925,5059071,10.166596
佐賀県,110702.43,73753.43,243958,0.453776593,0.666231356,859205,3.521938202
長崎県,242942.87,104766.19,409522,0.593235211,0.43123797,1453740,3.549845918
熊本県,465741.92,282020.34,740521,0.628938167,0.605529217,1828288,2.468921205
大分県,452607.89,238860.75,633933,0.713968022,0.52774323,1204772,1.900472132
宮崎県,589208.44,356812.19,773478,0.761764963,0.605578885,1142868,1.477570144
鹿児島県,590450.58,301992.58,918780,0.642646314,0.51146123,1732199,1.885325105
沖縄県,105036.43,12361.31,227528,0.461641776,0.11768593,1373464,6.036461447
